선거명,선거ID,시도명,구시군수,읍면동수,투표구수,인구수,인구수(재외국민),인구수(외국인),확정선거인수(계),확정선거인수(재외국민),확정선거인수(외국인),확정선거인수(남),확정선거인수(남_재외국민),확정선거인수(남_외국인),확정선거인수(여),확정선거인수(여_재외국민),확정선거인수(여_외국인),거소투표신고인명부등재자수(계),거소투표신고인명부등재자수(재외국민),거소투표신고인명부등재자수(남),거소투표신고인명부등재자수(남_재외국민),거소투표신고인명부등재자수(여),거소투표신고인명부등재자수(여_재외국민),결과순서
제21대 국회의원선거,20200415,합계,250,3484,14330,51843268,75880,0,43994247,73444,0,21803482,30127,0,22190765,43317,0,100529,19,74614,12,25915,7,1
제21대 국회의원선거,20200415,서울특별시,25,424,2252,9736986,29483,0,8477244,28654,0,4093951,11936,0,4383293,16718,0,12948,8,10094,6,2854,2,2
제21대 국회의원선거,20200415,부산광역시,16,205,912,3410199,4207,0,2958290,4092,0,1438850,1517,0,1519440,2575,0,6709,0,5249,0,1460,0,3
제21대 국회의원선거,20200415,대구광역시,8,139,631,2432827,1862,0,2071120,1822,0,1014440,744,0,1056680,1078,0,3940,0,2867,0,1073,0,4
제21대 국회의원선거,20200415,인천광역시,10,154,717,2954295,3996,0,2500690,3867,0,1246898,1583,0,1253792,2284,0,4995,1,3977,1,1018,0,5
제21대 국회의원선거,20200415,광주광역시,5,95,369,1455861,757,0,1208263,732,0,592217,315,0,616046,417,0,2418,0,1704,0,714,0,6
제21대 국회의원선거,20200415,대전광역시,5,79,361,1472287,1229,0,1237183,1174,0,613630,525,0,623553,649,0,2198,0,1713,0,485,0,7
제21대 국회의원선거,20200415,울산광역시,5,56,284,1144639,511,0,953648,493,0,488708,216,0,464940,277,0,1713,0,1381,0,332,0,8
제21대 국회의원선거,20200415,세종특별자치시,1,19,79,344746,267,0,263388,257,0,130586,96,0,132802,161,0,446,0,368,0,78,0,9
제21대 국회의원선거,20200415,경기도,42,545,3186,13276036,22382,0,11067819,21579,0,5542671,8740,0,5525148,12839,0,20058,8,15912,4,4146,4,10
제21대 국회의원선거,20200415,강원도,18,188,667,1539225,1482,0,1323766,1426,0,662666,616,0,661100,810,0,5673,0,4620,0,1053,0,11
제21대 국회의원선거,20200415,충청북도,14,153,505,1598418,1065,0,1354046,1022,0,683304,426,0,670742,596,0,3043,0,2105,0,938,0,12
제21대 국회의원선거,20200415,충청남도,16,207,747,2120663,1554,0,1781956,1505,0,905842,631,0,876114,874,0,3959,1,2719,1,1240,0,13
제21대 국회의원선거,20200415,전라북도,15,243,615,1813724,1116,0,1542579,1069,0,761311,467,0,781268,602,0,5506,0,3374,0,2132,0,14
제21대 국회의원선거,20200415,전라남도,22,297,864,1860430,1000,0,1592850,952,0,796295,426,0,796555,526,0,6514,1,4232,0,2282,1,15
제21대 국회의원선거,20200415,경상북도,24,332,971,2655190,1546,0,2282938,1489,0,1142615,605,0,1140323,884,0,7585,0,4741,0,2844,0,16
제21대 국회의원선거,20200415,경상남도,22,305,940,3356914,1918,0,2823511,1844,0,1412622,739,0,1410889,1105,0,11245,0,8377,0,2868,0,17
제21대 국회의원선거,20200415,제주특별자치도,2,43,230,670828,1505,0,554956,1467,0,276876,545,0,278080,922,0,1579,0,1181,0,398,0,18
제20대 대통령선거,20220309,합계,250,3510,14464,51629720,78661,0,44197692,76247,0,21906295,31408,0,22291397,44839,0,103991,22,75676,13,28315,9,1
제20대 대통령선거,20220309,서울특별시,25,425,2264,9505765,29754,0,8346647,28950,0,4017578,12081,0,4329069,16869,0,12482,6,9731,3,2751,3,2
제20대 대통령선거,20220309,부산광역시,16,205,918,3348429,4279,0,2921510,4161,0,1417558,1536,0,1503952,2625,0,6755,1,5051,0,1704,1,3
제20대 대통령선거,20220309,대구광역시,8,142,636,2383153,1929,0,2046714,1883,0,1000201,765,0,1046513,1118,0,3830,1,2754,0,1076,1,4
제20대 대통령선거,20220309,인천광역시,10,155,730,2949606,4290,0,2519225,4154,0,1254996,1729,0,1264229,2425,0,5145,4,3878,2,1267,2,5
제20대 대통령선거,20220309,광주광역시,5,97,367,1441034,751,0,1209206,729,0,592836,317,0,616370,412,0,2857,0,1944,0,913,0,6
제20대 대통령선거,20220309,대전광역시,5,81,366,1451076,1319,0,1233177,1258,0,611106,559,0,622071,699,0,2245,0,1720,0,525,0,7
제20대 대통령선거,20220309,울산광역시,5,56,281,1120751,546,0,942210,526,0,483040,239,0,459170,287,0,1707,1,1347,1,360,0,8
제20대 대통령선거,20220309,세종특별자치시,1,22,83,374889,288,0,288895,277,0,143507,96,0,145388,181,0,530,0,418,0,112,0,9
제20대 대통령선거,20220309,경기도,42,560,3265,13572415,23506,0,11433288,22716,0,5732517,9280,0,5700771,13436,0,21862,3,17046,3,4816,0,10
제20대 대통령선거,20220309,강원도,18,188,670,1538846,1635,0,1333621,1582,0,668132,676,0,665489,906,0,5613,0,4560,0,1053,0,11
제20대 대통령선거,20220309,충청북도,14,153,508,1596912,1167,0,1365033,1122,0,690857,476,0,674176,646,0,3302,2,2242,2,1060,0,12
제20대 대통령선거,20220309,충청남도,16,208,750,2118543,1661,0,1796474,1607,0,916625,672,0,879849,935,0,4064,1,2786,1,1278,0,13
제20대 대통령선거,20220309,전라북도,15,243,611,1785042,1198,0,1533125,1152,0,757782,504,0,775343,648,0,5502,0,3390,0,2112,0,14
제20대 대통령선거,20220309,전라남도,22,297,862,1832434,1078,0,1581278,1032,0,792603,466,0,788675,566,0,7883,2,4681,1,3202,1,15
제20대 대통령선거,20220309,경상북도,24,330,974,2623741,1636,0,2273028,1585,0,1139461,664,0,1133567,921,0,7329,1,4562,0,2767,1,16
제20대 대통령선거,20220309,경상남도,22,305,949,3310318,2089,0,2809907,2011,0,1406846,801,0,1403061,1210,0,11217,0,8374,0,2843,0,17
제20대 대통령선거,20220309,제주특별자치도,2,43,230,676766,1535,0,564354,1502,0,280650,547,0,283704,955,0,1668,0,1192,0,476,0,18
제8회 전국동시지방선거,20220601,합계,250,3510,14465,51716577,79414,127625,44303449,76192,127623,21952351,31408,56369,22351098,44784,71254,84853,10,61150,8,23703,2,1
제8회 전국동시지방선거,20220601,서울특별시,25,425,2266,9537337,29963,38035,8378339,28885,38032,4029420,12059,17605,4348919,16826,20427,10007,3,7986,2,2021,1,2
제8회 전국동시지방선거,20220601,부산광역시,16,205,918,3342289,4275,2963,2916832,4117,2963,1414401,1520,1117,1502431,2597,1846,4896,0,3731,0,1165,0,3
제8회 전국동시지방선거,20220601,대구광역시,8,142,636,2379365,1943,1531,2044579,1870,1530,998641,761,544,1045938,1109,986,2681,0,2052,0,629,0,4
제8회 전국동시지방선거,20220601,인천광역시,10,155,731,2964221,4332,10733,2534338,4159,10733,1262145,1727,4946,1272193,2432,5787,3572,2,2844,2,728,0,5
제8회 전국동시지방선거,20220601,광주광역시,5,97,367,1437465,761,965,1206886,729,962,591407,319,263,615479,410,699,1900,0,1353,0,547,0,6
제8회 전국동시지방선거,20220601,대전광역시,5,81,366,1450288,1322,1114,1233557,1253,1114,611092,561,365,622465,692,749,1629,0,1306,0,323,0,7
제8회 전국동시지방선거,20220601,울산광역시,5,56,281,1118879,546,1936,941189,524,1935,482449,238,877,458740,286,1058,1276,1,1021,1,255,0,8
제8회 전국동시지방선거,20220601,세종특별자치시,1,22,84,378883,287,323,292259,276,323,145055,95,102,147204,181,221,395,0,330,0,65,0,9
제8회 전국동시지방선거,20220601,경기도,42,560,3265,13630243,23754,51237,11497206,22702,51243,5763539,9291,23963,5733667,13411,27280,16924,2,13626,2,3298,0,10
제8회 전국동시지방선거,20220601,강원도,18,188,670,1540398,1683,1338,1336080,1604,1338,669126,683,356,666954,921,982,4899,0,4054,0,845,0,11
제8회 전국동시지방선거,20220601,충청북도,14,153,508,1599391,1184,2191,1368779,1129,2191,692964,472,836,675815,657,1355,2688,0,1855,0,833,0,12
제8회 전국동시지방선거,20220601,충청남도,16,208,752,2123959,1709,4614,1803096,1626,4615,920069,681,1920,883027,945,2695,3160,0,2181,0,979,0,13
제8회 전국동시지방선거,20220601,전라북도,15,243,611,1782131,1208,1767,1532133,1148,1767,757195,504,464,774938,644,1303,5023,1,2846,1,2177,0,14
제8회 전국동시지방선거,20220601,전라남도,22,297,860,1830008,1092,1624,1580098,1038,1624,792023,470,373,788075,568,1251,7713,1,4164,0,3549,1,15
제8회 전국동시지방선거,20220601,경상북도,24,330,972,2619145,1656,2106,2268707,1588,2106,1137804,668,708,1130903,920,1398,7483,0,4112,0,3371,0,16
제8회 전국동시지방선거,20220601,경상남도,22,305,948,3303315,2147,3385,2804287,2043,3384,1404174,810,1210,1400113,1233,2174,9266,0,6711,0,2555,0,17
제8회 전국동시지방선거,20220601,제주특별자치도,2,43,230,679260,1552,1763,565084,1501,1763,280847,549,720,284237,952,1043,1341,0,978,0,363,0,18
제22대 국선 강서구청장 보궐선거,20231011,합계,1,20,131,565785,1445,1256,500603,1387,1256,237646,563,520,262957,824,736,1604,1,1485,0,119,1,1
제22대 국선 강서구청장 보궐선거,20231011,서울특별시,1,20,131,565785,1445,1256,500603,1387,1256,237646,563,520,262957,824,736,1604,1,1485,0,119,1,2
제22대 국회의원선거,20240410,합계,253,3551,14259,51297846,86957,0,44280011,84375,0,21932158,34751,0,22347853,49624,0,79370,13,57393,7,21977,6,1
제22대 국회의원선거,20240410,서울특별시,25,425,2257,9387317,32219,0,8310021,31422,0,3982573,13069,0,4327448,18353,0,10276,3,7848,1,2428,2,2
제22대 국회의원선거,20240410,부산광역시,16,205,913,3288211,4653,0,2884261,4524,0,1393997,1733,0,1490264,2791,0,5124,2,3768,1,1356,1,3
제22대 국회의원선거,20240410,대구광역시,9,150,655,2370784,2150,0,2051656,2093,0,999808,862,0,1051848,1231,0,2842,1,2017,0,825,1,4
제22대 국회의원선거,20240410,인천광역시,10,156,738,3004692,4864,0,2582765,4722,0,1284862,1939,0,1297903,2783,0,3848,0,2963,0,885,0,5
제22대 국회의원선거,20240410,광주광역시,5,96,358,1416036,845,0,1199920,824,0,587647,364,0,612273,460,0,2030,0,1453,0,577,0,6
제22대 국회의원선거,20240410,대전광역시,5,82,362,1441754,1469,0,1236801,1389,0,612866,601,0,623935,788,0,1806,0,1383,0,423,0,7
제22대 국회의원선거,20240410,울산광역시,5,55,269,1101561,648,0,934661,609,0,480024,280,0,454637,329,0,1162,0,918,0,244,0,8
제22대 국회의원선거,20240410,세종특별자치시,1,24,85,387344,335,0,301297,319,0,149301,113,0,151996,206,0,411,0,324,0,87,0,9
제22대 국회의원선거,20240410,경기도,45,599,3263,13640605,26033,0,11595385,25209,0,5810356,10292,0,5785029,14917,0,17012,5,13139,3,3873,2,10
제22대 국회의원선거,20240410,강원특별자치도,18,188,664,1524406,1869,0,1331959,1802,0,667229,761,0,664730,1041,0,4144,0,3351,0,793,0,11
제22대 국회의원선거,20240410,충청북도,14,153,495,1591030,1353,0,1372679,1299,0,696670,532,0,676009,767,0,2448,0,1673,0,775,0,12
제22대 국회의원선거,20240410,충청남도,16,208,751,2132321,2032,0,1825472,1962,0,934551,819,0,890921,1143,0,3417,1,2300,1,1117,0,13
제22대 국회의원선거,20240410,전북특별자치도,15,243,566,1749954,1420,0,1517738,1371,0,751230,601,0,766508,770,0,4147,0,2553,0,1594,0,14
제22대 국회의원선거,20240410,전라남도,22,297,806,1799169,1270,0,1565232,1203,0,786894,539,0,778338,664,0,5272,0,3313,0,1959,0,15
제22대 국회의원선거,20240410,경상북도,23,322,926,2547365,1820,0,2224011,1759,0,1119016,742,0,1104995,1017,0,5564,0,3431,0,2133,0,16
제22대 국회의원선거,20240410,경상남도,22,305,921,3242058,2321,0,2779542,2235,0,1393357,908,0,1386185,1327,0,8506,0,5993,0,2513,0,17
제22대 국회의원선거,20240410,제주특별자치도,2,43,230,673239,1656,0,566611,1633,0,281777,596,0,284834,1037,0,1361,1,966,1,395,0,18
제21대 대통령선거,20250603,합계,253,3554,14295,51175222,90402,0,44391871,87668,0,21977489,36272,0,22414382,51396,0,84115,20,60941,15,23174,5,1
제21대 대통령선거,20250603,서울특별시,25,426,2260,9331471,33047,0,8293885,32221,0,3966689,13411,0,4327196,18810,0,10438,6,8070,4,2368,2,2
제21대 대통령선거,20250603,부산광역시,16,206,914,3256219,4827,0,2865552,4698,0,1382484,1812,0,1483068,2886,0,5398,1,3937,1,1461,0,3
제21대 대통령선거,20250603,대구광역시,9,150,661,2359046,2232,0,2049078,2161,0,996830,897,0,1052248,1264,0,3045,2,2210,1,835,1,4
제21대 대통령선거,20250603,인천광역시,10,156,742,3034282,5156,0,2619348,5007,0,1302437,2054,0,1316911,2953,0,4176,0,3255,0,921,0,5
제21대 대통령선거,20250603,광주광역시,5,96,357,1400656,875,0,1194471,849,0,584933,374,0,609538,475,0,2525,1,1807,1,718,0,6
제21대 대통령선거,20250603,대전광역시,5,82,363,1439384,1504,0,1241882,1429,0,615155,613,0,626727,816,0,1712,0,1338,0,374,0,7
제21대 대통령선거,20250603,울산광역시,5,55,269,1094407,687,0,934509,644,0,480772,295,0,453737,349,0,1171,1,957,1,214,0,8
제21대 대통령선거,20250603,세종특별자치시,1,24,86,392022,349,0,307067,333,0,151967,122,0,155100,211,0,419,0,334,0,85,0,9
