선거명,선거ID,시도명,구시군명,읍면동명,투표구수,인구수,인구수(재외국민),인구수(외국인),확정선거인수(계),확정선거인수(재외국민),확정선거인수(외국인),확정선거인수(남),확정선거인수(남_재외국민),확정선거인수(남_외국인),확정선거인수(여),확정선거인수(여_재외국민),확정선거인수(여_외국인),거소투표신고인명부등재자수(계),거소투표신고인명부등재자수(재외국민),거소투표신고인명부등재자수(남),거소투표신고인명부등재자수(남_재외국민),거소투표신고인명부등재자수(여),거소투표신고인명부등재자수(여_재외국민),결과순서
제6회 전국동시지방선거,20140604,서울특별시,강남구,합계,118,572592,4850,291,467534,4602,291,219426,2028,123,248108,2574,168,632,0,533,0,99,0,1
제6회 전국동시지방선거,20140604,서울특별시,강남구,신사동,5,19573,264,21,16284,251,21,7484,103,12,8800,148,9,13,0,10,0,3,0,2
제6회 전국동시지방선거,20140604,서울특별시,강남구,논현1동,5,25880,222,23,23461,217,23,10671,97,7,12790,120,16,26,0,25,0,1,0,3
제6회 전국동시지방선거,20140604,서울특별시,강남구,논현2동,5,22395,257,23,19398,245,23,8961,114,9,10437,131,14,25,0,20,0,5,0,4
제6회 전국동시지방선거,20140604,서울특별시,강남구,압구정동,7,29168,499,16,23445,472,16,10693,196,8,12752,276,8,22,0,15,0,7,0,5
제6회 전국동시지방선거,20140604,서울특별시,강남구,청담동,7,31687,449,11,26076,433,11,12131,193,4,13945,240,7,33,0,29,0,4,0,6
제6회 전국동시지방선거,20140604,서울특별시,강남구,삼성1동,3,15620,215,5,12829,207,5,6224,104,1,6605,103,4,24,0,21,0,3,0,7
제6회 전국동시지방선거,20140604,서울특별시,강남구,삼성2동,5,32308,280,16,25821,261,16,11910,116,9,13911,145,7,31,0,24,0,7,0,8
제6회 전국동시지방선거,20140604,서울특별시,강남구,대치1동,5,20409,147,3,14618,133,3,6942,57,0,7676,76,3,12,0,11,0,1,0,9
제6회 전국동시지방선거,20140604,서울특별시,강남구,대치2동,8,42927,267,17,33623,253,17,16385,110,7,17238,143,10,55,0,51,0,4,0,10
제6회 전국동시지방선거,20140604,서울특별시,강남구,대치4동,4,22136,177,13,18449,172,13,8442,63,5,10007,109,8,24,0,23,0,1,0,11
제6회 전국동시지방선거,20140604,서울특별시,강남구,역삼1동,7,35644,396,26,32370,382,26,15304,176,14,17066,206,12,36,0,34,0,2,0,12
제6회 전국동시지방선거,20140604,서울특별시,강남구,역삼2동,6,35804,258,15,27703,245,15,12721,110,7,14982,135,8,25,0,21,0,4,0,13
제6회 전국동시지방선거,20140604,서울특별시,강남구,도곡1동,4,22932,210,15,18662,198,15,8824,84,4,9838,114,11,15,0,13,0,2,0,14
제6회 전국동시지방선거,20140604,서울특별시,강남구,도곡2동,7,35865,469,13,27849,437,13,12991,195,8,14858,242,5,29,0,25,0,4,0,15
제6회 전국동시지방선거,20140604,서울특별시,강남구,개포1동,5,22641,139,8,19088,132,8,9047,55,3,10041,77,5,31,0,25,0,6,0,16
제6회 전국동시지방선거,20140604,서울특별시,강남구,개포2동,7,34111,141,11,27487,128,11,13046,58,4,14441,70,7,54,0,48,0,6,0,17
제6회 전국동시지방선거,20140604,서울특별시,강남구,개포4동,4,23532,94,11,19308,91,11,9337,48,4,9971,43,7,25,0,20,0,5,0,18
제6회 전국동시지방선거,20140604,서울특별시,강남구,일원본동,4,22878,98,3,17512,87,3,8317,42,2,9195,45,1,28,0,24,0,4,0,19
제6회 전국동시지방선거,20140604,서울특별시,강남구,일원1동,5,18057,52,17,15342,49,17,7370,23,4,7972,26,13,26,0,22,0,4,0,20
제6회 전국동시지방선거,20140604,서울특별시,강남구,일원2동,5,18756,103,4,15341,98,4,7253,39,2,8088,59,2,31,0,23,0,8,0,21
제6회 전국동시지방선거,20140604,서울특별시,강남구,수서동,5,16306,92,10,14593,91,10,6604,35,6,7989,56,4,30,0,20,0,10,0,22
제6회 전국동시지방선거,20140604,서울특별시,강남구,세곡동,5,23963,21,10,18275,20,10,8769,10,3,9506,10,7,37,0,29,0,8,0,23
제6회 전국동시지방선거,20140604,서울특별시,강동구,합계,96,482625,1045,306,396324,997,306,195430,415,115,200894,582,191,695,0,587,0,108,0,1
