선거명,선거ID,시도명,구시군명,읍면동명,투표구수,인구수,인구수(재외국민),인구수(외국인),확정선거인수(계),확정선거인수(재외국민),확정선거인수(외국인),확정선거인수(남),확정선거인수(남_재외국민),확정선거인수(남_외국인),확정선거인수(여),확정선거인수(여_재외국민),확정선거인수(여_외국인),거소투표신고인명부등재자수(계),거소투표신고인명부등재자수(재외국민),거소투표신고인명부등재자수(남),거소투표신고인명부등재자수(남_재외국민),거소투표신고인명부등재자수(여),거소투표신고인명부등재자수(여_재외국민),결과순서
제6회 전국동시지방선거,20140604,강원도,강릉시,합계,62,216508,172,126,176430,160,126,86545,65,46,89885,95,80,648,0,387,0,261,0,1
제6회 전국동시지방선거,20140604,강원도,강릉시,주문진읍,6,18568,2,14,16098,1,14,7877,0,4,8221,1,10,30,0,24,0,6,0,2
제6회 전국동시지방선거,20140604,강원도,강릉시,성산면,2,3369,8,3,2976,7,3,1509,3,1,1467,4,2,10,0,8,0,2,0,3
제6회 전국동시지방선거,20140604,강원도,강릉시,왕산면,3,1738,0,1,1635,0,1,898,0,0,737,0,1,4,0,3,0,1,0,4
제6회 전국동시지방선거,20140604,강원도,강릉시,구정면,2,4015,4,0,3536,4,0,1767,1,0,1769,3,0,18,0,6,0,12,0,5
제6회 전국동시지방선거,20140604,강원도,강릉시,강동면,2,5153,7,1,4615,7,1,2354,5,1,2261,2,0,107,0,41,0,66,0,6
제6회 전국동시지방선거,20140604,강원도,강릉시,옥계면,2,4288,2,1,3815,2,1,1950,0,0,1865,2,1,68,0,26,0,42,0,7
제6회 전국동시지방선거,20140604,강원도,강릉시,사천면,2,4454,7,3,3882,7,3,2023,4,0,1859,3,3,7,0,3,0,4,0,8
제6회 전국동시지방선거,20140604,강원도,강릉시,연곡면,2,6964,4,2,5853,4,2,2900,0,0,2953,4,2,11,0,8,0,3,0,9
제6회 전국동시지방선거,20140604,강원도,강릉시,홍제동,2,8528,5,14,6845,3,14,3337,0,5,3508,3,9,11,0,8,0,3,0,10
제6회 전국동시지방선거,20140604,강원도,강릉시,중앙동,2,6156,14,13,5475,13,13,2637,6,8,2838,7,5,16,0,10,0,6,0,11
제6회 전국동시지방선거,20140604,강원도,강릉시,옥천동,1,4091,5,5,3606,4,5,1778,2,3,1828,2,2,11,0,8,0,3,0,12
제6회 전국동시지방선거,20140604,강원도,강릉시,교1동,6,29919,25,29,22643,23,29,10770,8,13,11873,15,16,51,0,37,0,14,0,13
제6회 전국동시지방선거,20140604,강원도,강릉시,교2동,3,9504,11,4,7850,11,4,3844,4,0,4006,7,4,6,0,5,0,1,0,14
제6회 전국동시지방선거,20140604,강원도,강릉시,포남1동,3,12501,3,5,10497,3,5,5143,1,1,5354,2,4,27,0,22,0,5,0,15
제6회 전국동시지방선거,20140604,강원도,강릉시,포남2동,4,16114,14,9,13001,13,9,6250,5,1,6751,8,8,33,0,29,0,4,0,16
제6회 전국동시지방선거,20140604,강원도,강릉시,초당동,2,5779,3,0,4638,2,0,2244,0,0,2394,2,0,6,0,5,0,1,0,17
제6회 전국동시지방선거,20140604,강원도,강릉시,송정동,2,7427,14,8,5846,13,8,2832,8,3,3014,5,5,13,0,11,0,2,0,18
제6회 전국동시지방선거,20140604,강원도,강릉시,내곡동,2,12717,6,2,10229,6,2,5149,3,1,5080,3,1,73,0,54,0,19,0,19
제6회 전국동시지방선거,20140604,강원도,강릉시,강남동,6,20984,15,1,17196,14,1,8514,7,1,8682,7,0,92,0,40,0,52,0,20
제6회 전국동시지방선거,20140604,강원도,강릉시,성덕동,6,29123,9,9,21769,9,9,10524,2,2,11245,7,7,46,0,33,0,13,0,21
제6회 전국동시지방선거,20140604,강원도,강릉시,경포동,2,5116,14,2,4425,14,2,2245,6,2,2180,8,0,8,0,6,0,2,0,22
제6회 전국동시지방선거,20140604,강원도,고성군,합계,23,30214,33,12,26235,33,12,13869,14,2,12366,19,10,604,0,493,0,111,0,1
제6회 전국동시지방선거,20140604,강원도,고성군,간성읍,5,7654,9,1,6292,9,1,3488,4,0,2804,5,1,231,0,221,0,10,0,2
제6회 전국동시지방선거,20140604,강원도,고성군,거진읍,6,7375,4,6,6473,4,6,3223,2,1,3250,2,5,131,0,108,0,23,0,3
제6회 전국동시지방선거,20140604,강원도,고성군,현내면,4,2747,1,2,2482,1,2,1204,0,0,1278,1,2,13,0,9,0,4,0,4
제6회 전국동시지방선거,20140604,강원도,고성군,죽왕면,4,4161,11,1,3666,11,1,1942,4,0,1724,7,1,56,0,51,0,5,0,5
제6회 전국동시지방선거,20140604,강원도,고성군,토성면,4,8277,8,2,7322,8,2,4012,4,1,3310,4,1,173,0,104,0,69,0,6
제6회 전국동시지방선거,20140604,강원도,동해시,합계,32,94649,45,32,75796,45,32,37959,20,13,37837,25,19,1335,0,1265,0,70,0,1
제6회 전국동시지방선거,20140604,강원도,동해시,천곡동,8,30154,18,14,23485,18,14,11447,7,7,12038,11,7,591,0,569,0,22,0,2
제6회 전국동시지방선거,20140604,강원도,동해시,송정동,2,5114,2,4,4394,2,4,2389,2,4,2005,0,0,209,0,201,0,8,0,3
제6회 전국동시지방선거,20140604,강원도,동해시,북삼동,6,21948,8,0,16163,8,0,8242,3,0,7921,5,0,321,0,309,0,12,0,4
