결과순서,선거명,대별(회차명),선거일자,선거요일,정수,투표율(%),비고
1,전국동시지방선거,제7회,20180613,수,4016,60.2,
2,전국동시지방선거,제8회,20220601,수,4125,50.9,
3,시·읍·면의회의원선거,,19520425,금,17559,90.7,
4,시·도의회의원선거,,19520510,토,306,81.2,
5,시·읍·면장선거,,19560808,수,582,86.7,
6,시·읍·면의회의원선거,,19560808,수,16961,79.6,
7,시·도의회의원선거,,19560813,월,437,85.8,
8,시·도의회의원선거,,19601212,월,487,67.4,
9,시·읍·면의회의원선거,,19601219,월,16909,78.9,
10,시·읍·면장선거,,19601226,월,1468,75.4,
11,서울시장 및 도지사선거,,19601229,목,10,38.8,
12,구·시·군의회의원선거,,19910326,화,4304,55.0,
13,시·도의회의원선거,,19910620,목,866,58.9,
14,전국동시지방선거,제1회,19950627,화,5758,68.4,
15,전국동시지방선거,제2회,19980604,목,4428,52.7,
16,전국동시지방선거,제3회,20020613,목,4414,48.9,
17,전국동시지방선거,제4회,20060531,수,3872,51.6,
18,전국동시지방선거,제5회,20100602,수,3991,54.5,
19,전국동시지방선거,제6회,20140604,수,3952,56.8,
