모델명,안전수준,지역수,가정선거인수_합계,준비수량_합계,가정선거인수대비_준비율,지역평균_준비율,가중치_6to7,가중치_7to8,수량해석주의
전국 평균변화 가중모형,기본예측,3510,44303449,9370001,0.21149597179217355,0.20755499588133375,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
전국 평균변화 가중모형,오차평균보정,3510,44303449,8350612,0.18848672481458498,0.18454588141014633,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
전국 평균변화 가중모형,95%,3510,44303449,10729498,0.2421820025795283,0.23824128643371048,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
전국 평균변화 가중모형,99%,3510,44303449,11714315,0.26441090399079314,0.26047030192045884,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
전국 평균변화 가중모형,99.9%,3510,44303449,12819185,0.28934959442999575,0.28540858067504876,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
지역별 변화 가중모형,기본예측,3510,44303449,9606742,0.21683959639349976,0.20748006689174006,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
지역별 변화 가중모형,오차평균보정,3510,44303449,8588101,0.19384723297727904,0.18452788236624004,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
지역별 변화 가중모형,95%,3510,44303449,10966222,0.24752524346355065,0.23816635744411677,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
지역별 변화 가중모형,99%,3510,44303449,11951033,0.26975400944517886,0.2603953729308651,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
지역별 변화 가중모형,99.9%,3510,44303449,13055891,0.29469242902510817,0.285333651685455,0.3,0.7,제9회 수량은 제8회 선거인수를 사용한 임시 추정치
